"";"date";"number of shootings"
"246";"2015-09-20";2
"247";"2015-09-21";6
"248";"2015-09-22";3
"249";"2015-09-23";5
"250";"2015-09-24";3
"251";"2015-09-25";3
"252";"2015-09-26";2
"253";"2015-09-27";3
"254";"2015-09-28";2
"255";"2015-09-29";2
"256";"2015-09-30";1
"257";"2015-10-02";4
"258";"2015-10-04";2
"259";"2015-10-05";4
"260";"2015-10-07";1
"261";"2015-10-09";1
"262";"2015-10-10";5
"263";"2015-10-11";4
"264";"2015-10-12";2
"265";"2015-10-14";4
"266";"2015-10-15";7
"267";"2015-10-16";3
"268";"2015-10-17";2
"269";"2015-10-18";2
"270";"2015-10-19";1
"271";"2015-10-20";5
"272";"2015-10-21";3
"273";"2015-10-22";3
"274";"2015-10-24";6
"275";"2015-10-25";1
"276";"2015-10-26";3
"277";"2015-10-27";1
"278";"2015-10-28";4
"279";"2015-10-29";2
"280";"2015-10-30";6
"281";"2015-10-31";2
"282";"2015-11-01";3
"283";"2015-11-02";1
"284";"2015-11-03";1
"285";"2015-11-04";4
"286";"2015-11-05";4
"287";"2015-11-06";3
"288";"2015-11-09";5
"289";"2015-11-10";4
"290";"2015-11-11";4
"291";"2015-11-12";1
"292";"2015-11-13";3
"293";"2015-11-14";1
"294";"2015-11-15";4
"295";"2015-11-16";2
"296";"2015-11-17";6
"297";"2015-11-18";2
"298";"2015-11-19";3
"299";"2015-11-20";2
"300";"2015-11-21";1
"301";"2015-11-22";3
"302";"2015-11-23";2
"303";"2015-11-24";3
"304";"2015-11-25";3
"305";"2015-11-26";1
"306";"2015-11-27";1
"307";"2015-11-28";1
"308";"2015-11-29";5
"309";"2015-11-30";3
"310";"2015-12-01";2
"311";"2015-12-02";6
"312";"2015-12-03";1
"313";"2015-12-04";2
"314";"2015-12-05";5
"315";"2015-12-06";3
"316";"2015-12-08";2
"317";"2015-12-09";1
"318";"2015-12-10";3
"319";"2015-12-11";1
"320";"2015-12-12";6
"321";"2015-12-13";4
"322";"2015-12-14";8
"323";"2015-12-15";1
"324";"2015-12-16";1
"325";"2015-12-17";2
"326";"2015-12-18";3
"327";"2015-12-19";2
"328";"2015-12-20";2
"329";"2015-12-21";7
"330";"2015-12-22";3
"331";"2015-12-23";1
"332";"2015-12-24";3
"333";"2015-12-25";1
"334";"2015-12-26";4
"335";"2015-12-27";3
"336";"2015-12-28";1
"337";"2015-12-29";2
"338";"2015-12-30";1
"339";"2015-12-31";1
"340";"2016-01-01";1
"341";"2016-01-02";3
"342";"2016-01-03";1
"343";"2016-01-04";2
"344";"2016-01-05";6
"345";"2016-01-06";3
"346";"2016-01-08";2
"347";"2016-01-10";2
"348";"2016-01-11";4
"349";"2016-01-12";2
"350";"2016-01-13";2
"351";"2016-01-14";2
"352";"2016-01-15";2
"353";"2016-01-16";6
"354";"2016-01-17";5
"355";"2016-01-18";5
"356";"2016-01-19";3
"357";"2016-01-20";3
"358";"2016-01-21";1
"359";"2016-01-23";1
"360";"2016-01-25";1
"361";"2016-01-26";1
"362";"2016-01-27";8
"363";"2016-01-28";3
"364";"2016-01-29";3
"365";"2016-01-30";4
"366";"2016-01-31";4
"367";"2016-02-01";2
"368";"2016-02-02";1
"369";"2016-02-03";3
"370";"2016-02-04";5
"371";"2016-02-05";4
"372";"2016-02-06";1
"373";"2016-02-07";2
"374";"2016-02-08";3
"375";"2016-02-09";2
"376";"2016-02-10";5
"377";"2016-02-11";3
"378";"2016-02-12";3
"379";"2016-02-13";4
"380";"2016-02-14";3
"381";"2016-02-15";2
"382";"2016-02-16";3
"383";"2016-02-17";1
"384";"2016-02-18";4
"385";"2016-02-19";2
"386";"2016-02-20";4
"387";"2016-02-21";5
"388";"2016-02-22";4
"389";"2016-02-23";4
"390";"2016-02-24";5
"391";"2016-02-25";4
"392";"2016-02-26";2
"393";"2016-02-27";1
"394";"2016-02-28";2
"395";"2016-02-29";1
"396";"2016-03-01";3
"397";"2016-03-02";2
"398";"2016-03-03";1
"399";"2016-03-04";1
"400";"2016-03-05";2
"401";"2016-03-06";3
"402";"2016-03-07";5
"403";"2016-03-08";1
"404";"2016-03-10";5
"405";"2016-03-11";4
"406";"2016-03-12";3
"407";"2016-03-13";7
"408";"2016-03-14";1
"409";"2016-03-15";3
"410";"2016-03-16";3
"411";"2016-03-17";4
"412";"2016-03-18";1
"413";"2016-03-19";4
"414";"2016-03-20";4
"415";"2016-03-21";3
"416";"2016-03-22";2
"417";"2016-03-23";3
"418";"2016-03-24";6
"419";"2016-03-26";4
"420";"2016-03-27";5
"421";"2016-03-29";3
"422";"2016-03-30";3
"423";"2016-03-31";4
"424";"2016-04-01";2
"425";"2016-04-02";1
"426";"2016-04-03";4
"427";"2016-04-04";1
"428";"2016-04-05";2
"429";"2016-04-06";3
"430";"2016-04-07";2
"431";"2016-04-08";3
"432";"2016-04-09";2
"433";"2016-04-10";3
"434";"2016-04-11";2
"435";"2016-04-12";3
"436";"2016-04-13";3
"437";"2016-04-14";1
"438";"2016-04-15";3
"439";"2016-04-16";1
"440";"2016-04-17";5
"441";"2016-04-18";2
"442";"2016-04-19";3
